Tag,Player,Elo,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6,LeadPokemon,TurnCount,Result,Pokemon 1 Move 1,Pokemon 1 Move 2,Pokemon 1 Move 3,Pokemon 1 Move 4,Pokemon 2 Move 1,Pokemon 2 Move 2,Pokemon 2 Move 3,Pokemon 2 Move 4,Pokemon 3 Move 1,Pokemon 3 Move 2,Pokemon 3 Move 3,Pokemon 3 Move 4,Pokemon 4 Move 1,Pokemon 4 Move 2,Pokemon 4 Move 3,Pokemon 4 Move 4,Pokemon 5 Move 1,Pokemon 5 Move 2,Pokemon 5 Move 3,Pokemon 5 Move 4,Pokemon 6 Move 1,Pokemon 6 Move 2,Pokemon 6 Move 3,Pokemon 6 Move 4,Avg_HP,Avg_Attack,Avg_Special Attack,Avg_Defense,Avg_Special Defense,Avg_Speed,Lead_HP,Lead_Attack,Lead_Special Attack,Lead_Defense,Lead_Special Defense,Lead_Speed,Has_Normal,Has_Fighting,Has_Flying,Has_Poison,Has_Ground,Has_Rock,Has_Bug,Has_Ghost,Has_Steel,Has_Fire,Has_Water,Has_Grass,Has_Electric,Has_Psychic,Has_Ice,Has_Dragon,Has_Dark
1000949555,HaxerShouldAllDie,1444,Infernape,Breloom,Tyranitar,Jellicent,Bronzong,Reuniclus,Infernape,24,lose,Fire Blast,Fake Out,Stealth Rock,Close Combat,Bullet Seed,Spore,Mach Punch,,,,,,Hidden Power,Trick Room,Scald,,Gyro Ball,Trick Room,,,,,,,85.5,96.99999999999999,87.0,91.33333333333333,89.5,60.33333333333333,76.0,104.0,71.0,104.0,71.0,108.0,False,False,False,False,False,True,False,False,True,True,True,True,False,True,False,False,False
100157536,BigBadLeroyBrown,1306,Tyranitar,Alakazam,Latios,Ferrothorn,Landorus-Therian,Excadrill,Tyranitar,31,win,Superpower,,,,,,,,,,,,Knock Off,Spikes,Gyro Ball,,Stealth Rock,Earthquake,Knock Off,,,,,,84.66666666666667,108.0,86.0,94.83333333333333,92.66666666666666,81.66666666666667,100.0,134.0,110.0,95.0,100.0,61.0,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False
1001647389,testing4g4in,1488,Tyranitar,Amoonguss,Starmie,Alakazam,Heatran,Skarmory,Starmie,22,lose,Pursuit,Stealth Rock,,,Spore,,,,Trick,Rapid Spin,,,Psychic,Focus Blast,,,Fire Blast,,,,Brave Bird,,,,80.83333333333333,85.66666666666667,92.66666666666666,97.50000000000001,87.66666666666667,78.83333333333334,60.0,75.0,85.0,100.0,85.0,115.0,False,False,False,False,False,True,False,False,True,True,True,True,False,True,False,False,False
100171063,bossaru2,1377,Tyranitar,Stoutland,Forretress,Salamence,Gliscor,Breloom,Breloom,24,lose,Ice Punch,,,,Superpower,Ice Fang,,,Explosion,,,,Outrage,,,,Protect,,,,Spore,Mach Punch,,,81.66666666666667,114.0,104.16666666666664,69.16666666666667,77.5,74.33333333333334,60.0,130.0,80.0,60.0,60.0,70.0,True,False,False,False,True,True,True,False,False,False,False,True,False,False,False,True,False
100192677,jo0n vo0ight,1312,Tornadus,Politoed,Tentacruel,Dugtrio,Ferrothorn,Jirachi,Tornadus,22,lose,U-turn,,,,Scald,Protect,,,Scald,Toxic,Substitute,,Earthquake,,,,Protect,Leech Seed,,,U-turn,Ice Punch,,,76.33333333333334,89.00000000000001,81.83333333333334,83.16666666666667,97.66666666666667,86.83333333333333,79.0,115.0,70.0,125.0,80.0,111.0,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,False
1002108995,Artemeye,1380,Tyranitar,Rotom-Wash,Ferrothorn,Landorus-Therian,Alakazam,Latias,Latias,56,win,Crunch,,,,Hydro Pump,Volt Switch,Pain Split,Will-O-Wisp,Stealth Rock,Knock Off,Spikes,Gyro Ball,U-turn,,,,Shadow Ball,Hidden Power,Psyshock,,Trick,Surf,,,74.66666666666667,94.66666666666666,95.5,100.66666666666667,103.0,81.33333333333333,80.0,80.0,90.0,110.0,130.0,110.0,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,True,False
1002577437,uncertainty of tmr,1480,Gengar,Dragonite,Alakazam,Toxicroak,Skarmory,Scizor,Skarmory,22,win,,,,,Dragon Dance,Outrage,,,Shadow Ball,Hidden Power,Focus Blast,,Swords Dance,Drain Punch,Sucker Punch,,Spikes,Stealth Rock,,,Superpower,,,,70.66666666666667,94.16666666666667,84.16666666666667,91.00000000000001,79.16666666666667,88.33333333333333,65.0,80.0,140.0,40.0,70.0,70.0,False,False,False,True,False,False,True,True,True,False,False,False,False,True,False,True,False
1002695411,Alpacapazzo,1352,Toxicroak,Chansey,Politoed,Tentacruel,Skarmory,Jirachi,Politoed,58,lose,Substitute,Bulk Up,Ice Punch,,,,,,Ice Beam,Encore,,,Scald,Toxic,,,Spikes,,,,Substitute,Calm Mind,Psychic,Thunder,111.33333333333333,72.66666666666667,75.0,71.83333333333334,93.33333333333334,79.16666666666666,90.0,75.0,75.0,90.0,100.0,70.0,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
1002983067,Machine Gun Dragon,1519,Skarmory,Gastrodon,Reuniclus,Tyranitar,Latias,Heatran,Tyranitar,52,lose,Spikes,Roost,Whirlwind,,Recover,Scald,Toxic,Earthquake,Psyshock,Recover,,,Stealth Rock,,,,Surf,Draco Meteor,Thunder Wave,Recover,Toxic,,,,92.83333333333334,88.66666666666666,98.16666666666667,98.66666666666667,95.50000000000001,64.49999999999999,100.0,134.0,110.0,95.0,100.0,61.0,False,False,False,False,False,True,False,False,True,True,True,False,False,True,False,True,False
100300188,WeForneMon,1325,Victini,Garchomp,Ninetales,Starmie,Venusaur,Gengar,Starmie,11,win,,,,,Stealth Rock,,,,Flamethrower,,,,,,,,Sludge Bomb,,,,Shadow Ball,,,,80.16666666666667,88.0,83.0,98.50000000000001,90.83333333333333,101.16666666666667,60.0,75.0,85.0,100.0,85.0,115.0,False,False,False,False,False,False,False,True,False,True,True,True,False,True,False,True,False
